"Region";"Country";"Item Type";"Sales Channel";"Order Priority";"Order Date";"Order ID";"ShipDate";"Units Sold";"Unit Price";"Unit Cost";"Total Revenue";"Total Cost";"Total Profit";"UpdatedAt";"CreatedAt"
"Australia and Oceania";"Palau";"Office Supplies";"Online";"H";"3/6/2016";517073523;"2022-11-09";2401;651.21;524.96;1563560.0;1260430.0;303126.0;"2022-11-09 09:58:33";"2022-11-01 13:02:21"
"Europe";"Poland";"Beverages";"Online";"L";"4/18/2010";380507028;"5/26/2010";9340;47.45;31.79;443183.0;296919.0;146264.0;"2022-11-01 13:02:21";"2022-11-01 13:02:21"
"Asia";"US";"Office Supplies";"online";"H";"01-11-2022";380507028;"02-10-2022";3232;47.45;12.0;324657.0;32543.0;34566.0;"2022-11-02 09:56:33";"2022-11-01 13:06:39"
"Asia";"US";"Office Supplies";"online";"H";"01-11-2022";380507028;"02-10-2022";3232;47.45;12.0;324657.0;32543.0;34566.0;"2022-11-02 09:56:33";"2022-11-01 13:07:46"
"Asia";"US";"Office Supplies";"online";"H";"01-11-2022";380507028;"02-10-2022";3232;47.45;12.0;324657.0;32543.0;34566.0;"2022-11-02 09:56:33";"2022-11-01 13:10:05"
"AUS";"NZ";"Supplies";"offline";"L";"01-08-2022";380507421;"02-05-2021";3232;47.45;12.0;324657.0;32543.0;34566.0;"2022-11-01 15:39:35";"2022-11-01 15:39:35"
"Middle";"CA";"Supplies";"online";"L";"01-08-2022";380507421;"2022-11-04";3232;45.45;22.0;367657.0;39843.0;24566.0;"2022-11-04 11:57:32";"2022-11-04 11:12:46"
"Asia";"INDIA";"Office Supplies";"online";"H";"01-11-2022";380507028;"02-10-2022";3232;47.45;12.0;324657.0;32543.0;34566.0;"2022-11-09 09:50:35";"2022-11-09 09:50:35"
"US";"NY";"supplies";"offline";"L";"11-12-2021";24556;"23-12-2021";45656;47.45;45.0;324657.0;35556.0;1323.0;"2022-11-09 09:52:41";"2022-11-09 09:52:41"
"US";"BZ";"supplies";"online";"H";"23-02-2021";34566;"23-12-2021";76544;37.45;23.0;754534.0;76556.0;765432.0;"2022-11-09 09:57:26";"2022-11-09 09:57:26"
"Middle";"Dubai";"office supplies";"offline";"H";"21-12-2021";53444;"12-11-2022";455666;37.45;54.0;45556.0;234545.0;566432.0;"2022-11-09 09:57:26";"2022-11-09 09:57:26"
